LatencyMeasurement.Latency_min,LatencyMeasurement.Latency_max,LatencyMeasurement.Latency_avg,LatencyMeasurement.Latency_sum,LatencyMeasurement.numRecordsIn_min,LatencyMeasurement.numRecordsIn_max,LatencyMeasurement.numRecordsIn_avg,LatencyMeasurement.numRecordsIn_sum,LatencyMeasurement.numRecordsOut_min,LatencyMeasurement.numRecordsOut_max,LatencyMeasurement.numRecordsOut_avg,LatencyMeasurement.numRecordsOut_sum,LatencyMeasurement.currentOutputWatermark_min,LatencyMeasurement.currentOutputWatermark_max,LatencyMeasurement.currentOutputWatermark_avg,LatencyMeasurement.currentOutputWatermark_sum,LatencyMeasurement.currentInputWatermark_min,LatencyMeasurement.currentInputWatermark_max,LatencyMeasurement.currentInputWatermark_avg,LatencyMeasurement.currentInputWatermark_sum,LatencyMeasurement.numRecordsOutPerSecond_min,LatencyMeasurement.numRecordsOutPerSecond_max,LatencyMeasurement.numRecordsOutPerSecond_avg,LatencyMeasurement.numRecordsOutPerSecond_sum,LatencyMeasurement.numRecordsInPerSecond_min,LatencyMeasurement.numRecordsInPerSecond_max,LatencyMeasurement.numRecordsInPerSecond_avg,LatencyMeasurement.numRecordsInPerSecond_sum
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,64.0,51.25,205.0,9765.0,17464.0,12666.25,50665.0,9765.0,17466.0,12666.75,50667.0,1618401811194.0,1618401811214.0,1618401811209.0,6473607244836.0,1618401811194.0,1618401811214.0,1618401811209.0,6473607244836.0,79.38333333333334,138.68333333333334,109.175,436.7,79.38333333333334,138.68333333333334,109.175,436.7
35.0,64.0,51.25,205.0,9765.0,17464.0,12666.25,50665.0,9765.0,17466.0,12666.75,50667.0,1618401811194.0,1618401811214.0,1618401811209.0,6473607244836.0,1618401811194.0,1618401811214.0,1618401811209.0,6473607244836.0,79.38333333333334,138.68333333333334,109.175,436.7,79.38333333333334,138.68333333333334,109.175,436.7
35.0,64.0,51.25,205.0,9765.0,17464.0,12666.25,50665.0,9765.0,17466.0,12666.75,50667.0,1618401811194.0,1618401811214.0,1618401811209.0,6473607244836.0,1618401811194.0,1618401811214.0,1618401811209.0,6473607244836.0,79.38333333333334,138.68333333333334,109.175,436.7,79.38333333333334,138.68333333333334,109.175,436.7
35.0,64.0,51.25,205.0,9765.0,17464.0,12666.25,50665.0,9765.0,17466.0,12666.75,50667.0,1618401811194.0,1618401811214.0,1618401811209.0,6473607244836.0,1618401811194.0,1618401811214.0,1618401811209.0,6473607244836.0,79.38333333333334,138.68333333333334,109.175,436.7,79.38333333333334,138.68333333333334,109.175,436.7
35.0,64.0,51.25,205.0,9765.0,17464.0,12666.25,50665.0,9765.0,17466.0,12666.75,50667.0,1618401811194.0,1618401811214.0,1618401811209.0,6473607244836.0,1618401811194.0,1618401811214.0,1618401811209.0,6473607244836.0,79.38333333333334,138.68333333333334,109.175,436.7,79.38333333333334,138.68333333333334,109.175,436.7
35.0,64.0,51.25,205.0,9765.0,17464.0,12666.25,50665.0,9765.0,17466.0,12666.75,50667.0,1618401811194.0,1618401811214.0,1618401811209.0,6473607244836.0,1618401811194.0,1618401811214.0,1618401811209.0,6473607244836.0,79.38333333333334,138.68333333333334,109.175,436.7,79.38333333333334,138.68333333333334,109.175,436.7
35.0,64.0,51.25,205.0,9765.0,17464.0,12666.25,50665.0,9765.0,17466.0,12666.75,50667.0,1618401811194.0,1618401811214.0,1618401811209.0,6473607244836.0,1618401811194.0,1618401811214.0,1618401811209.0,6473607244836.0,79.38333333333334,138.68333333333334,109.175,436.7,79.38333333333334,138.68333333333334,109.175,436.7
35.0,64.0,51.25,205.0,9765.0,17464.0,12666.25,50665.0,9765.0,17466.0,12666.75,50667.0,1618401811194.0,1618401811214.0,1618401811209.0,6473607244836.0,1618401811194.0,1618401811214.0,1618401811209.0,6473607244836.0,79.38333333333334,138.68333333333334,109.175,436.7,79.38333333333334,138.68333333333334,109.175,436.7
35.0,64.0,51.25,205.0,9765.0,17464.0,12666.25,50665.0,9765.0,17466.0,12666.75,50667.0,1618401811194.0,1618401811214.0,1618401811209.0,6473607244836.0,1618401811194.0,1618401811214.0,1618401811209.0,6473607244836.0,79.38333333333334,138.68333333333334,109.175,436.7,79.38333333333334,138.68333333333334,109.175,436.7
35.0,64.0,51.25,205.0,9765.0,17464.0,12666.25,50665.0,9765.0,17466.0,12666.75,50667.0,1618401811194.0,1618401811214.0,1618401811209.0,6473607244836.0,1618401811194.0,1618401811214.0,1618401811209.0,6473607244836.0,79.38333333333334,138.68333333333334,109.175,436.7,79.38333333333334,138.68333333333334,109.175,436.7
25.0,95.0,59.75,239.0,51341.0,60816.0,55855.5,223422.0,51341.0,60817.0,55856.25,223425.0,1618401821229.0,1618401821229.0,1618401821229.0,6473607284916.0,1618401821229.0,1618401821229.0,1618401821229.0,6473607284916.0,756.15,932.9833333333333,824.8666666666667,3299.4666666666667,756.15,932.9833333333333,824.8666666666667,3299.4666666666667
25.0,95.0,59.75,239.0,51341.0,60816.0,55855.5,223422.0,51341.0,60817.0,55856.25,223425.0,1618401821229.0,1618401821229.0,1618401821229.0,6473607284916.0,1618401821229.0,1618401821229.0,1618401821229.0,6473607284916.0,756.15,932.9833333333333,824.8666666666667,3299.4666666666667,756.15,932.9833333333333,824.8666666666667,3299.4666666666667
25.0,95.0,59.75,239.0,51341.0,60816.0,55855.5,223422.0,51341.0,60817.0,55856.25,223425.0,1618401821229.0,1618401821229.0,1618401821229.0,6473607284916.0,1618401821229.0,1618401821229.0,1618401821229.0,6473607284916.0,756.15,932.9833333333333,824.8666666666667,3299.4666666666667,756.15,932.9833333333333,824.8666666666667,3299.4666666666667
25.0,95.0,59.75,239.0,51341.0,60816.0,55855.5,223422.0,51341.0,60817.0,55856.25,223425.0,1618401821229.0,1618401821229.0,1618401821229.0,6473607284916.0,1618401821229.0,1618401821229.0,1618401821229.0,6473607284916.0,756.15,932.9833333333333,824.8666666666667,3299.4666666666667,756.15,932.9833333333333,824.8666666666667,3299.4666666666667
25.0,95.0,59.75,239.0,51341.0,60816.0,55855.5,223422.0,51341.0,60817.0,55856.25,223425.0,1618401821229.0,1618401821229.0,1618401821229.0,6473607284916.0,1618401821229.0,1618401821229.0,1618401821229.0,6473607284916.0,756.15,932.9833333333333,824.8666666666667,3299.4666666666667,756.15,932.9833333333333,824.8666666666667,3299.4666666666667
25.0,95.0,59.75,239.0,51341.0,60816.0,55855.5,223422.0,51341.0,60817.0,55856.25,223425.0,1618401821229.0,1618401821229.0,1618401821229.0,6473607284916.0,1618401821229.0,1618401821229.0,1618401821229.0,6473607284916.0,756.15,932.9833333333333,824.8666666666667,3299.4666666666667,756.15,932.9833333333333,824.8666666666667,3299.4666666666667
25.0,95.0,59.75,239.0,51341.0,60816.0,55855.5,223422.0,51341.0,60817.0,55856.25,223425.0,1618401821229.0,1618401821229.0,1618401821229.0,6473607284916.0,1618401821229.0,1618401821229.0,1618401821229.0,6473607284916.0,756.15,932.9833333333333,824.8666666666667,3299.4666666666667,756.15,932.9833333333333,824.8666666666667,3299.4666666666667
25.0,95.0,59.75,239.0,51341.0,60816.0,55855.5,223422.0,51341.0,60817.0,55856.25,223425.0,1618401821229.0,1618401821229.0,1618401821229.0,6473607284916.0,1618401821229.0,1618401821229.0,1618401821229.0,6473607284916.0,756.15,932.9833333333333,824.8666666666667,3299.4666666666667,756.15,932.9833333333333,824.8666666666667,3299.4666666666667
25.0,95.0,59.75,239.0,51341.0,60816.0,55855.5,223422.0,51341.0,60817.0,55856.25,223425.0,1618401821229.0,1618401821229.0,1618401821229.0,6473607284916.0,1618401821229.0,1618401821229.0,1618401821229.0,6473607284916.0,756.15,932.9833333333333,824.8666666666667,3299.4666666666667,756.15,932.9833333333333,824.8666666666667,3299.4666666666667
25.0,95.0,59.75,239.0,51341.0,60816.0,55855.5,223422.0,51341.0,60817.0,55856.25,223425.0,1618401821229.0,1618401821229.0,1618401821229.0,6473607284916.0,1618401821229.0,1618401821229.0,1618401821229.0,6473607284916.0,756.15,932.9833333333333,824.8666666666667,3299.4666666666667,756.15,932.9833333333333,824.8666666666667,3299.4666666666667
61.0,124.0,92.5,370.0,96210.0,104119.0,98966.25,395865.0,96210.0,104119.0,98966.5,395866.0,1618401831214.0,1618401831314.0,1618401831282.75,6473607325131.0,1618401831214.0,1618401831314.0,1618401831282.75,6473607325131.0,1493.1,1631.75,1536.1374999999998,6144.549999999999,1493.1,1631.75,1536.1374999999998,6144.549999999999
61.0,124.0,92.5,370.0,96210.0,104119.0,98966.25,395865.0,96210.0,104119.0,98966.5,395866.0,1618401831214.0,1618401831314.0,1618401831282.75,6473607325131.0,1618401831214.0,1618401831314.0,1618401831282.75,6473607325131.0,1493.1,1631.75,1536.1374999999998,6144.549999999999,1493.1,1631.75,1536.1374999999998,6144.549999999999
61.0,124.0,92.5,370.0,96210.0,104119.0,98966.25,395865.0,96210.0,104119.0,98966.5,395866.0,1618401831214.0,1618401831314.0,1618401831282.75,6473607325131.0,1618401831214.0,1618401831314.0,1618401831282.75,6473607325131.0,1493.1,1631.75,1536.1374999999998,6144.549999999999,1493.1,1631.75,1536.1374999999998,6144.549999999999
61.0,124.0,92.5,370.0,96210.0,104119.0,98966.25,395865.0,96210.0,104119.0,98966.5,395866.0,1618401831214.0,1618401831314.0,1618401831282.75,6473607325131.0,1618401831214.0,1618401831314.0,1618401831282.75,6473607325131.0,1493.1,1631.75,1536.1374999999998,6144.549999999999,1493.1,1631.75,1536.1374999999998,6144.549999999999
61.0,124.0,92.5,370.0,96210.0,104119.0,98966.25,395865.0,96210.0,104119.0,98966.5,395866.0,1618401831214.0,1618401831314.0,1618401831282.75,6473607325131.0,1618401831214.0,1618401831314.0,1618401831282.75,6473607325131.0,1493.1,1631.75,1536.1374999999998,6144.549999999999,1493.1,1631.75,1536.1374999999998,6144.549999999999
61.0,124.0,92.5,370.0,96210.0,104119.0,98966.25,395865.0,96210.0,104119.0,98966.5,395866.0,1618401831214.0,1618401831314.0,1618401831282.75,6473607325131.0,1618401831214.0,1618401831314.0,1618401831282.75,6473607325131.0,1493.1,1631.75,1536.1374999999998,6144.549999999999,1493.1,1631.75,1536.1374999999998,6144.549999999999
61.0,124.0,92.5,370.0,96210.0,104119.0,98966.25,395865.0,96210.0,104119.0,98966.5,395866.0,1618401831214.0,1618401831314.0,1618401831282.75,6473607325131.0,1618401831214.0,1618401831314.0,1618401831282.75,6473607325131.0,1493.1,1631.75,1536.1374999999998,6144.549999999999,1493.1,1631.75,1536.1374999999998,6144.549999999999
61.0,124.0,92.5,370.0,96210.0,104119.0,98966.25,395865.0,96210.0,104119.0,98966.5,395866.0,1618401831214.0,1618401831314.0,1618401831282.75,6473607325131.0,1618401831214.0,1618401831314.0,1618401831282.75,6473607325131.0,1493.1,1631.75,1536.1374999999998,6144.549999999999,1493.1,1631.75,1536.1374999999998,6144.549999999999
61.0,124.0,92.5,370.0,96210.0,104119.0,98966.25,395865.0,96210.0,104119.0,98966.5,395866.0,1618401831214.0,1618401831314.0,1618401831282.75,6473607325131.0,1618401831214.0,1618401831314.0,1618401831282.75,6473607325131.0,1493.1,1631.75,1536.1374999999998,6144.549999999999,1493.1,1631.75,1536.1374999999998,6144.549999999999
61.0,124.0,92.5,370.0,96210.0,104119.0,98966.25,395865.0,96210.0,104119.0,98966.5,395866.0,1618401831214.0,1618401831314.0,1618401831282.75,6473607325131.0,1618401831214.0,1618401831314.0,1618401831282.75,6473607325131.0,1493.1,1631.75,1536.1374999999998,6144.549999999999,1493.1,1631.75,1536.1374999999998,6144.549999999999
56.0,150.0,104.0,416.0,140292.0,146987.0,141990.0,567960.0,140292.0,146987.0,141990.25,567961.0,1618401841289.0,1618401841389.0,1618401841354.0,6473607365416.0,1618401841289.0,1618401841389.0,1618401841354.0,6473607365416.0,2192.9,2351.4666666666667,2249.666666666667,8998.666666666668,2192.9,2351.4666666666667,2249.666666666667,8998.666666666668
56.0,150.0,104.0,416.0,140292.0,146987.0,141990.0,567960.0,140292.0,146987.0,141990.25,567961.0,1618401841289.0,1618401841389.0,1618401841354.0,6473607365416.0,1618401841289.0,1618401841389.0,1618401841354.0,6473607365416.0,2192.9,2351.4666666666667,2249.666666666667,8998.666666666668,2192.9,2351.4666666666667,2249.666666666667,8998.666666666668
56.0,150.0,104.0,416.0,140292.0,146987.0,141990.0,567960.0,140292.0,146987.0,141990.25,567961.0,1618401841289.0,1618401841389.0,1618401841354.0,6473607365416.0,1618401841289.0,1618401841389.0,1618401841354.0,6473607365416.0,2192.9,2351.4666666666667,2249.666666666667,8998.666666666668,2192.9,2351.4666666666667,2249.666666666667,8998.666666666668
56.0,150.0,104.0,416.0,140292.0,146987.0,141990.0,567960.0,140292.0,146987.0,141990.25,567961.0,1618401841289.0,1618401841389.0,1618401841354.0,6473607365416.0,1618401841289.0,1618401841389.0,1618401841354.0,6473607365416.0,2192.9,2351.4666666666667,2249.666666666667,8998.666666666668,2192.9,2351.4666666666667,2249.666666666667,8998.666666666668
56.0,150.0,104.0,416.0,140292.0,146987.0,141990.0,567960.0,140292.0,146987.0,141990.25,567961.0,1618401841289.0,1618401841389.0,1618401841354.0,6473607365416.0,1618401841289.0,1618401841389.0,1618401841354.0,6473607365416.0,2192.9,2351.4666666666667,2249.666666666667,8998.666666666668,2192.9,2351.4666666666667,2249.666666666667,8998.666666666668
56.0,150.0,104.0,416.0,140292.0,146987.0,141990.0,567960.0,140292.0,146987.0,141990.25,567961.0,1618401841289.0,1618401841389.0,1618401841354.0,6473607365416.0,1618401841289.0,1618401841389.0,1618401841354.0,6473607365416.0,2192.9,2351.4666666666667,2249.666666666667,8998.666666666668,2192.9,2351.4666666666667,2249.666666666667,8998.666666666668
56.0,150.0,104.0,416.0,140292.0,146987.0,141990.0,567960.0,140292.0,146987.0,141990.25,567961.0,1618401841289.0,1618401841389.0,1618401841354.0,6473607365416.0,1618401841289.0,1618401841389.0,1618401841354.0,6473607365416.0,2192.9,2351.4666666666667,2249.666666666667,8998.666666666668,2192.9,2351.4666666666667,2249.666666666667,8998.666666666668
56.0,150.0,104.0,416.0,140292.0,146987.0,141990.0,567960.0,140292.0,146987.0,141990.25,567961.0,1618401841289.0,1618401841389.0,1618401841354.0,6473607365416.0,1618401841289.0,1618401841389.0,1618401841354.0,6473607365416.0,2192.9,2351.4666666666667,2249.666666666667,8998.666666666668,2192.9,2351.4666666666667,2249.666666666667,8998.666666666668
56.0,150.0,104.0,416.0,140292.0,146987.0,141990.0,567960.0,140292.0,146987.0,141990.25,567961.0,1618401841289.0,1618401841389.0,1618401841354.0,6473607365416.0,1618401841289.0,1618401841389.0,1618401841354.0,6473607365416.0,2192.9,2351.4666666666667,2249.666666666667,8998.666666666668,2192.9,2351.4666666666667,2249.666666666667,8998.666666666668
56.0,150.0,104.0,416.0,140292.0,146987.0,141990.0,567960.0,140292.0,146987.0,141990.25,567961.0,1618401841289.0,1618401841389.0,1618401841354.0,6473607365416.0,1618401841289.0,1618401841389.0,1618401841354.0,6473607365416.0,2192.9,2351.4666666666667,2249.666666666667,8998.666666666668,2192.9,2351.4666666666667,2249.666666666667,8998.666666666668
4.0,48.0,34.25,137.0,180936.0,192204.0,184927.5,739710.0,180936.0,192204.0,184927.5,739710.0,1618401851419.0,1618401851419.0,1618401851419.0,6473607405676.0,1618401851419.0,1618401851419.0,1618401851419.0,6473607405676.0,2887.75,3080.7,2965.225,11860.9,2887.75,3080.7,2965.225,11860.9
4.0,48.0,34.25,137.0,180936.0,192204.0,184927.5,739710.0,180936.0,192204.0,184927.5,739710.0,1618401851419.0,1618401851419.0,1618401851419.0,6473607405676.0,1618401851419.0,1618401851419.0,1618401851419.0,6473607405676.0,2887.75,3080.7,2965.225,11860.9,2887.75,3080.7,2965.225,11860.9
4.0,48.0,34.25,137.0,180936.0,192204.0,184927.5,739710.0,180936.0,192204.0,184927.5,739710.0,1618401851419.0,1618401851419.0,1618401851419.0,6473607405676.0,1618401851419.0,1618401851419.0,1618401851419.0,6473607405676.0,2887.75,3080.7,2965.225,11860.9,2887.75,3080.7,2965.225,11860.9
4.0,48.0,34.25,137.0,180936.0,192204.0,184927.5,739710.0,180936.0,192204.0,184927.5,739710.0,1618401851419.0,1618401851419.0,1618401851419.0,6473607405676.0,1618401851419.0,1618401851419.0,1618401851419.0,6473607405676.0,2887.75,3080.7,2965.225,11860.9,2887.75,3080.7,2965.225,11860.9
4.0,48.0,34.25,137.0,180936.0,192204.0,184927.5,739710.0,180936.0,192204.0,184927.5,739710.0,1618401851419.0,1618401851419.0,1618401851419.0,6473607405676.0,1618401851419.0,1618401851419.0,1618401851419.0,6473607405676.0,2887.75,3080.7,2965.225,11860.9,2887.75,3080.7,2965.225,11860.9
4.0,48.0,34.25,137.0,180936.0,192204.0,184927.5,739710.0,180936.0,192204.0,184927.5,739710.0,1618401851419.0,1618401851419.0,1618401851419.0,6473607405676.0,1618401851419.0,1618401851419.0,1618401851419.0,6473607405676.0,2887.75,3080.7,2965.225,11860.9,2887.75,3080.7,2965.225,11860.9
4.0,48.0,34.25,137.0,180936.0,192204.0,184927.5,739710.0,180936.0,192204.0,184927.5,739710.0,1618401851419.0,1618401851419.0,1618401851419.0,6473607405676.0,1618401851419.0,1618401851419.0,1618401851419.0,6473607405676.0,2887.75,3080.7,2965.225,11860.9,2887.75,3080.7,2965.225,11860.9
4.0,48.0,34.25,137.0,180936.0,192204.0,184927.5,739710.0,180936.0,192204.0,184927.5,739710.0,1618401851419.0,1618401851419.0,1618401851419.0,6473607405676.0,1618401851419.0,1618401851419.0,1618401851419.0,6473607405676.0,2887.75,3080.7,2965.225,11860.9,2887.75,3080.7,2965.225,11860.9
4.0,48.0,34.25,137.0,180936.0,192204.0,184927.5,739710.0,180936.0,192204.0,184927.5,739710.0,1618401851419.0,1618401851419.0,1618401851419.0,6473607405676.0,1618401851419.0,1618401851419.0,1618401851419.0,6473607405676.0,2887.75,3080.7,2965.225,11860.9,2887.75,3080.7,2965.225,11860.9
4.0,48.0,34.25,137.0,180936.0,192204.0,184927.5,739710.0,180936.0,192204.0,184927.5,739710.0,1618401851419.0,1618401851419.0,1618401851419.0,6473607405676.0,1618401851419.0,1618401851419.0,1618401851419.0,6473607405676.0,2887.75,3080.7,2965.225,11860.9,2887.75,3080.7,2965.225,11860.9
2.0,40.0,30.25,121.0,220575.0,238989.0,227699.75,910799.0,220575.0,238989.0,227699.75,910799.0,1618401861489.0,1618401861489.0,1618401861489.0,6473607445956.0,1618401861489.0,1618401861489.0,1618401861489.0,6473607445956.0,3581.1,3820.15,3676.9041666666662,14707.616666666665,3581.1,3820.15,3676.8999999999996,14707.599999999999
2.0,40.0,30.25,121.0,220575.0,238989.0,227699.75,910799.0,220575.0,238989.0,227699.75,910799.0,1618401861489.0,1618401861489.0,1618401861489.0,6473607445956.0,1618401861489.0,1618401861489.0,1618401861489.0,6473607445956.0,3581.1,3820.15,3676.9041666666662,14707.616666666665,3581.1,3820.15,3676.8999999999996,14707.599999999999
2.0,40.0,30.25,121.0,220575.0,238989.0,227699.75,910799.0,220575.0,238989.0,227699.75,910799.0,1618401861489.0,1618401861489.0,1618401861489.0,6473607445956.0,1618401861489.0,1618401861489.0,1618401861489.0,6473607445956.0,3581.1,3820.15,3676.9041666666662,14707.616666666665,3581.1,3820.15,3676.8999999999996,14707.599999999999
