latency.source_id.feca28aff5a3958840bee985ee7de4d3.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.0.latency_max_value,latency.source_id.feca28aff5a3958840bee985ee7de4d3.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.1.latency_p90_value,latency.source_id.bc764cd8ddf7a0cff126f51c16239658.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.2.latency_p999_value,latency.source_id.bc764cd8ddf7a0cff126f51c16239658.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.0.latency_p999_value,latency.source_id.bc764cd8ddf7a0cff126f51c16239658.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.2.latency_max_value,latency.source_id.feca28aff5a3958840bee985ee7de4d3.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.2.latency_max_value,latency.source_id.bc764cd8ddf7a0cff126f51c16239658.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.1.latency_p999_value,latency.source_id.bc764cd8ddf7a0cff126f51c16239658.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.0.latency_max_value,latency.source_id.feca28aff5a3958840bee985ee7de4d3.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.1.latency_min_value,latency.source_id.feca28aff5a3958840bee985ee7de4d3.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.1.latency_p99_value
160,156.0,160.0,161.0,160,160,161.0,161,42,160.0
160,156.0,160.0,161.0,160,160,161.0,161,42,160.0
160,156.0,160.0,161.0,160,160,161.0,161,42,160.0
160,156.0,160.0,161.0,160,160,161.0,161,42,160.0
709,212.50000000000006,755.0,977.0,755,634,451.0,977,49,497.56999999999897
709,212.50000000000006,755.0,977.0,755,634,451.0,977,49,497.56999999999897
709,212.50000000000006,755.0,977.0,755,634,451.0,977,49,497.56999999999897
709,212.50000000000006,755.0,977.0,755,634,451.0,977,49,497.56999999999897
709,212.50000000000006,755.0,977.0,755,634,451.0,977,49,497.56999999999897
709,212.50000000000006,755.0,977.0,755,634,451.0,977,49,497.56999999999897
709,212.50000000000006,755.0,977.0,755,634,451.0,977,49,497.56999999999897
709,212.50000000000006,755.0,977.0,755,634,451.0,977,49,497.56999999999897
709,212.50000000000006,755.0,977.0,755,634,451.0,977,49,497.56999999999897
709,240.10000000000002,594.0,977.0,594,634,451.0,977,45,353.47999999999945
709,240.10000000000002,594.0,977.0,594,634,451.0,977,45,353.47999999999945
709,240.10000000000002,594.0,977.0,594,634,451.0,977,45,353.47999999999945
709,240.10000000000002,594.0,977.0,594,634,451.0,977,45,353.47999999999945
709,240.10000000000002,594.0,977.0,594,634,451.0,977,45,353.47999999999945
709,240.10000000000002,594.0,977.0,594,634,451.0,977,45,353.47999999999945
709,240.10000000000002,594.0,977.0,594,634,451.0,977,45,353.47999999999945
709,240.10000000000002,594.0,977.0,594,634,451.0,977,45,353.47999999999945
709,240.10000000000002,594.0,977.0,594,634,451.0,977,45,353.47999999999945
709,240.10000000000002,594.0,977.0,594,634,451.0,977,45,353.47999999999945
258,212.10000000000002,282.0,328.0,282,353,268.0,328,7,275.0999999999999
258,212.10000000000002,282.0,328.0,282,353,268.0,328,7,275.0999999999999
258,212.10000000000002,282.0,328.0,282,353,268.0,328,7,275.0999999999999
258,212.10000000000002,282.0,328.0,282,353,268.0,328,7,275.0999999999999
258,212.10000000000002,282.0,328.0,282,353,268.0,328,7,275.0999999999999
258,212.10000000000002,282.0,328.0,282,353,268.0,328,7,275.0999999999999
258,212.10000000000002,282.0,328.0,282,353,268.0,328,7,275.0999999999999
258,212.10000000000002,282.0,328.0,282,353,268.0,328,7,275.0999999999999
258,212.10000000000002,282.0,328.0,282,353,268.0,328,7,275.0999999999999
258,212.10000000000002,282.0,328.0,282,353,268.0,328,7,275.0999999999999
175,147.0,217.0,227.0,217,216,195.0,227,7,202.13
175,147.0,217.0,227.0,217,216,195.0,227,7,202.13
175,147.0,217.0,227.0,217,216,195.0,227,7,202.13
175,147.0,217.0,227.0,217,216,195.0,227,7,202.13
175,147.0,217.0,227.0,217,216,195.0,227,7,202.13
175,147.0,217.0,227.0,217,216,195.0,227,7,202.13
175,147.0,217.0,227.0,217,216,195.0,227,7,202.13
175,147.0,217.0,227.0,217,216,195.0,227,7,202.13
175,147.0,217.0,227.0,217,216,195.0,227,7,202.13
175,147.0,217.0,227.0,217,216,195.0,227,7,202.13
208,153.20000000000002,271.0,250.0,271,216,199.0,250,24,182.54999999999995
208,153.20000000000002,271.0,250.0,271,216,199.0,250,24,182.54999999999995
208,153.20000000000002,271.0,250.0,271,216,199.0,250,24,182.54999999999995
208,153.20000000000002,271.0,250.0,271,216,199.0,250,24,182.54999999999995
208,153.20000000000002,271.0,250.0,271,216,199.0,250,24,182.54999999999995
208,153.20000000000002,271.0,250.0,271,216,199.0,250,24,182.54999999999995
208,153.20000000000002,271.0,250.0,271,216,199.0,250,24,182.54999999999995
208,153.20000000000002,271.0,250.0,271,216,199.0,250,24,182.54999999999995
208,153.20000000000002,271.0,250.0,271,216,199.0,250,24,182.54999999999995
208,153.20000000000002,271.0,250.0,271,216,199.0,250,24,182.54999999999995
200,157.0,242.0,262.0,242,210,218.0,262,30,183.67999999999995
200,157.0,242.0,262.0,242,210,218.0,262,30,183.67999999999995
200,157.0,242.0,262.0,242,210,218.0,262,30,183.67999999999995
200,157.0,242.0,262.0,242,210,218.0,262,30,183.67999999999995
200,157.0,242.0,262.0,242,210,218.0,262,30,183.67999999999995
200,157.0,242.0,262.0,242,210,218.0,262,30,183.67999999999995
200,157.0,242.0,262.0,242,210,218.0,262,30,183.67999999999995
200,157.0,242.0,262.0,242,210,218.0,262,30,183.67999999999995
200,157.0,242.0,262.0,242,210,218.0,262,30,183.67999999999995
200,157.0,242.0,262.0,242,210,218.0,262,30,183.67999999999995
194,142.10000000000002,218.0,214.0,218,190,255.0,214,44,223.16999999999985
194,142.10000000000002,218.0,214.0,218,190,255.0,214,44,223.16999999999985
194,142.10000000000002,218.0,214.0,218,190,255.0,214,44,223.16999999999985
194,142.10000000000002,218.0,214.0,218,190,255.0,214,44,223.16999999999985
194,142.10000000000002,218.0,214.0,218,190,255.0,214,44,223.16999999999985
194,142.10000000000002,218.0,214.0,218,190,255.0,214,44,223.16999999999985
194,142.10000000000002,218.0,214.0,218,190,255.0,214,44,223.16999999999985
194,142.10000000000002,218.0,214.0,218,190,255.0,214,44,223.16999999999985
194,142.10000000000002,218.0,214.0,218,190,255.0,214,44,223.16999999999985
194,142.10000000000002,218.0,214.0,218,190,255.0,214,44,223.16999999999985
197,166.10000000000002,218.0,226.0,218,200,255.0,226,54,227.51999999999992
197,166.10000000000002,218.0,226.0,218,200,255.0,226,54,227.51999999999992
197,166.10000000000002,218.0,226.0,218,200,255.0,226,54,227.51999999999992
197,166.10000000000002,218.0,226.0,218,200,255.0,226,54,227.51999999999992
197,166.10000000000002,218.0,226.0,218,200,255.0,226,54,227.51999999999992
197,166.10000000000002,218.0,226.0,218,200,255.0,226,54,227.51999999999992
197,166.10000000000002,218.0,226.0,218,200,255.0,226,54,227.51999999999992
197,166.10000000000002,218.0,226.0,218,200,255.0,226,54,227.51999999999992
197,166.10000000000002,218.0,226.0,218,200,255.0,226,54,227.51999999999992
197,166.10000000000002,218.0,226.0,218,200,255.0,226,54,227.51999999999992
306,172.10000000000002,221.0,227.0,221,246,246.0,227,64,215.2299999999999
306,172.10000000000002,221.0,227.0,221,246,246.0,227,64,215.2299999999999
306,172.10000000000002,221.0,227.0,221,246,246.0,227,64,215.2299999999999
306,172.10000000000002,221.0,227.0,221,246,246.0,227,64,215.2299999999999
306,172.10000000000002,221.0,227.0,221,246,246.0,227,64,215.2299999999999
306,172.10000000000002,221.0,227.0,221,246,246.0,227,64,215.2299999999999
306,172.10000000000002,221.0,227.0,221,246,246.0,227,64,215.2299999999999
306,172.10000000000002,221.0,227.0,221,246,246.0,227,64,215.2299999999999
306,172.10000000000002,221.0,227.0,221,246,246.0,227,64,215.2299999999999
306,172.10000000000002,221.0,227.0,221,246,246.0,227,64,215.2299999999999
215,183.20000000000002,199.0,223.0,199,210,246.0,223,73,209.54999999999995
215,183.20000000000002,199.0,223.0,199,210,246.0,223,73,209.54999999999995
215,183.20000000000002,199.0,223.0,199,210,246.0,223,73,209.54999999999995
215,183.20000000000002,199.0,223.0,199,210,246.0,223,73,209.54999999999995
215,183.20000000000002,199.0,223.0,199,210,246.0,223,73,209.54999999999995
215,183.20000000000002,199.0,223.0,199,210,246.0,223,73,209.54999999999995
215,183.20000000000002,199.0,223.0,199,210,246.0,223,73,209.54999999999995
215,183.20000000000002,199.0,223.0,199,210,246.0,223,73,209.54999999999995
215,183.20000000000002,199.0,223.0,199,210,246.0,223,73,209.54999999999995
215,183.20000000000002,199.0,223.0,199,210,246.0,223,73,209.54999999999995
236,186.10000000000002,229.0,232.0,229,210,210.0,232,14,213.70999999999998
236,186.10000000000002,229.0,232.0,229,210,210.0,232,14,213.70999999999998
236,186.10000000000002,229.0,232.0,229,210,210.0,232,14,213.70999999999998
236,186.10000000000002,229.0,232.0,229,210,210.0,232,14,213.70999999999998
236,186.10000000000002,229.0,232.0,229,210,210.0,232,14,213.70999999999998
236,186.10000000000002,229.0,232.0,229,210,210.0,232,14,213.70999999999998
236,186.10000000000002,229.0,232.0,229,210,210.0,232,14,213.70999999999998
236,186.10000000000002,229.0,232.0,229,210,210.0,232,14,213.70999999999998
236,186.10000000000002,229.0,232.0,229,210,210.0,232,14,213.70999999999998
236,186.10000000000002,229.0,232.0,229,210,210.0,232,14,213.70999999999998
227,181.3,252.0,273.0,252,212,250.0,273,21,240.54999999999995
227,181.3,252.0,273.0,252,212,250.0,273,21,240.54999999999995
227,181.3,252.0,273.0,252,212,250.0,273,21,240.54999999999995
227,181.3,252.0,273.0,252,212,250.0,273,21,240.54999999999995
227,181.3,252.0,273.0,252,212,250.0,273,21,240.54999999999995
227,181.3,252.0,273.0,252,212,250.0,273,21,240.54999999999995
227,181.3,252.0,273.0,252,212,250.0,273,21,240.54999999999995
227,181.3,252.0,273.0,252,212,250.0,273,21,240.54999999999995
227,181.3,252.0,273.0,252,212,250.0,273,21,240.54999999999995
227,181.3,252.0,273.0,252,212,250.0,273,21,240.54999999999995
227,181.3,252.0,273.0,252,212,250.0,273,21,240.54999999999995
199,153.3,273.0,272.0,273,229,244.0,272,8,231.8499999999998
199,153.3,273.0,272.0,273,229,244.0,272,8,231.8499999999998
199,153.3,273.0,272.0,273,229,244.0,272,8,231.8499999999998
199,153.3,273.0,272.0,273,229,244.0,272,8,231.8499999999998
199,153.3,273.0,272.0,273,229,244.0,272,8,231.8499999999998
199,153.3,273.0,272.0,273,229,244.0,272,8,231.8499999999998
199,153.3,273.0,272.0,273,229,244.0,272,8,231.8499999999998
199,153.3,273.0,272.0,273,229,244.0,272,8,231.8499999999998
199,153.3,273.0,272.0,273,229,244.0,272,8,231.8499999999998
199,153.3,273.0,272.0,273,229,244.0,272,8,231.8499999999998
189,132.3,206.0,198.0,206,175,195.0,198,8,169.67999999999995
189,132.3,206.0,198.0,206,175,195.0,198,8,169.67999999999995
189,132.3,206.0,198.0,206,175,195.0,198,8,169.67999999999995
189,132.3,206.0,198.0,206,175,195.0,198,8,169.67999999999995
189,132.3,206.0,198.0,206,175,195.0,198,8,169.67999999999995
189,132.3,206.0,198.0,206,175,195.0,198,8,169.67999999999995
189,132.3,206.0,198.0,206,175,195.0,198,8,169.67999999999995
189,132.3,206.0,198.0,206,175,195.0,198,8,169.67999999999995
189,132.3,206.0,198.0,206,175,195.0,198,8,169.67999999999995
189,132.3,206.0,198.0,206,175,195.0,198,8,169.67999999999995
188,141.10000000000002,201.0,178.0,201,212,137.0,178,17,180.32999999999987
188,141.10000000000002,201.0,178.0,201,212,137.0,178,17,180.32999999999987
188,141.10000000000002,201.0,178.0,201,212,137.0,178,17,180.32999999999987
188,141.10000000000002,201.0,178.0,201,212,137.0,178,17,180.32999999999987
188,141.10000000000002,201.0,178.0,201,212,137.0,178,17,180.32999999999987
188,141.10000000000002,201.0,178.0,201,212,137.0,178,17,180.32999999999987
188,141.10000000000002,201.0,178.0,201,212,137.0,178,17,180.32999999999987
188,141.10000000000002,201.0,178.0,201,212,137.0,178,17,180.32999999999987
188,141.10000000000002,201.0,178.0,201,212,137.0,178,17,180.32999999999987
206,164.10000000000002,167.0,252.0,167,202,219.0,252,45,245.38999999999993
206,164.10000000000002,167.0,252.0,167,202,219.0,252,45,245.38999999999993
206,164.10000000000002,167.0,252.0,167,202,219.0,252,45,245.38999999999993
206,164.10000000000002,167.0,252.0,167,202,219.0,252,45,245.38999999999993
206,164.10000000000002,167.0,252.0,167,202,219.0,252,45,245.38999999999993
206,164.10000000000002,167.0,252.0,167,202,219.0,252,45,245.38999999999993
206,164.10000000000002,167.0,252.0,167,202,219.0,252,45,245.38999999999993
206,164.10000000000002,167.0,252.0,167,202,219.0,252,45,245.38999999999993
206,164.10000000000002,167.0,252.0,167,202,219.0,252,45,245.38999999999993
206,164.10000000000002,167.0,252.0,167,202,219.0,252,45,245.38999999999993
206,164.10000000000002,167.0,252.0,167,202,219.0,252,45,245.38999999999993
227,186.20000000000002,277.0,235.0,277,231,184.0,235,38,233.06999999999988
227,186.20000000000002,277.0,235.0,277,231,184.0,235,38,233.06999999999988
227,186.20000000000002,277.0,235.0,277,231,184.0,235,38,233.06999999999988
227,186.20000000000002,277.0,235.0,277,231,184.0,235,38,233.06999999999988
227,186.20000000000002,277.0,235.0,277,231,184.0,235,38,233.06999999999988
227,186.20000000000002,277.0,235.0,277,231,184.0,235,38,233.06999999999988
227,186.20000000000002,277.0,235.0,277,231,184.0,235,38,233.06999999999988
227,186.20000000000002,277.0,235.0,277,231,184.0,235,38,233.06999999999988
227,186.20000000000002,277.0,235.0,277,231,184.0,235,38,233.06999999999988
227,186.20000000000002,277.0,235.0,277,231,184.0,235,38,233.06999999999988
269,197.20000000000002,204.0,235.0,204,288,182.0,235,44,238.19999999999987
269,197.20000000000002,204.0,235.0,204,288,182.0,235,44,238.19999999999987
269,197.20000000000002,204.0,235.0,204,288,182.0,235,44,238.19999999999987
269,197.20000000000002,204.0,235.0,204,288,182.0,235,44,238.19999999999987
269,197.20000000000002,204.0,235.0,204,288,182.0,235,44,238.19999999999987
269,197.20000000000002,204.0,235.0,204,288,182.0,235,44,238.19999999999987
269,197.20000000000002,204.0,235.0,204,288,182.0,235,44,238.19999999999987
269,197.20000000000002,204.0,235.0,204,288,182.0,235,44,238.19999999999987
269,197.20000000000002,204.0,235.0,204,288,182.0,235,44,238.19999999999987
269,197.20000000000002,204.0,235.0,204,288,182.0,235,44,238.19999999999987
269,203.3,217.0,218.0,217,317,181.0,218,32,241.09999999999994
