LatencyMeasurement.Latency_min,LatencyMeasurement.Latency_max,LatencyMeasurement.Latency_avg,LatencyMeasurement.Latency_sum,LatencyMeasurement.numRecordsIn_min,LatencyMeasurement.numRecordsIn_max,LatencyMeasurement.numRecordsIn_avg,LatencyMeasurement.numRecordsIn_sum,LatencyMeasurement.numRecordsOut_min,LatencyMeasurement.numRecordsOut_max,LatencyMeasurement.numRecordsOut_avg,LatencyMeasurement.numRecordsOut_sum,LatencyMeasurement.currentOutputWatermark_min,LatencyMeasurement.currentOutputWatermark_max,LatencyMeasurement.currentOutputWatermark_avg,LatencyMeasurement.currentOutputWatermark_sum,LatencyMeasurement.currentInputWatermark_min,LatencyMeasurement.currentInputWatermark_max,LatencyMeasurement.currentInputWatermark_avg,LatencyMeasurement.currentInputWatermark_sum,LatencyMeasurement.numRecordsOutPerSecond_min,LatencyMeasurement.numRecordsOutPerSecond_max,LatencyMeasurement.numRecordsOutPerSecond_avg,LatencyMeasurement.numRecordsOutPerSecond_sum,LatencyMeasurement.numRecordsInPerSecond_min,LatencyMeasurement.numRecordsInPerSecond_max,LatencyMeasurement.numRecordsInPerSecond_avg,LatencyMeasurement.numRecordsInPerSecond_sum
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-2.7670116110564327e+19,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-2.7670116110564327e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-2.7670116110564327e+19,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-2.7670116110564327e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-2.7670116110564327e+19,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-2.7670116110564327e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-2.7670116110564327e+19,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-2.7670116110564327e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1824.0,2900.0,2219.6666666666665,6659.0,5475.0,6600.0,6016.666666666667,18050.0,5475.0,6600.0,6016.666666666667,18050.0,1619036073324.0,1619036073324.0,1619036073324.0,4857108219972.0,1619036073324.0,1619036073324.0,1619036073324.0,4857108219972.0,16.466666666666665,21.433333333333334,19.51111111111111,58.53333333333333,16.466666666666665,21.433333333333334,19.51111111111111,58.53333333333333
1824.0,2900.0,2219.6666666666665,6659.0,5475.0,6600.0,6016.666666666667,18050.0,5475.0,6600.0,6016.666666666667,18050.0,1619036073324.0,1619036073324.0,1619036073324.0,4857108219972.0,1619036073324.0,1619036073324.0,1619036073324.0,4857108219972.0,16.466666666666665,21.433333333333334,19.51111111111111,58.53333333333333,16.466666666666665,21.433333333333334,19.51111111111111,58.53333333333333
1824.0,2900.0,2219.6666666666665,6659.0,5475.0,6600.0,6016.666666666667,18050.0,5475.0,6600.0,6016.666666666667,18050.0,1619036073324.0,1619036073324.0,1619036073324.0,4857108219972.0,1619036073324.0,1619036073324.0,1619036073324.0,4857108219972.0,16.466666666666665,21.433333333333334,19.51111111111111,58.53333333333333,16.466666666666665,21.433333333333334,19.51111111111111,58.53333333333333
1824.0,2900.0,2219.6666666666665,6659.0,5475.0,6600.0,6016.666666666667,18050.0,5475.0,6600.0,6016.666666666667,18050.0,1619036073324.0,1619036073324.0,1619036073324.0,4857108219972.0,1619036073324.0,1619036073324.0,1619036073324.0,4857108219972.0,16.466666666666665,21.433333333333334,19.51111111111111,58.53333333333333,16.466666666666665,21.433333333333334,19.51111111111111,58.53333333333333
1824.0,2900.0,2219.6666666666665,6659.0,5475.0,6600.0,6016.666666666667,18050.0,5475.0,6600.0,6016.666666666667,18050.0,1619036073324.0,1619036073324.0,1619036073324.0,4857108219972.0,1619036073324.0,1619036073324.0,1619036073324.0,4857108219972.0,16.466666666666665,21.433333333333334,19.51111111111111,58.53333333333333,16.466666666666665,21.433333333333334,19.51111111111111,58.53333333333333
1824.0,2900.0,2219.6666666666665,6659.0,5475.0,6600.0,6016.666666666667,18050.0,5475.0,6600.0,6016.666666666667,18050.0,1619036073324.0,1619036073324.0,1619036073324.0,4857108219972.0,1619036073324.0,1619036073324.0,1619036073324.0,4857108219972.0,16.466666666666665,21.433333333333334,19.51111111111111,58.53333333333333,16.466666666666665,21.433333333333334,19.51111111111111,58.53333333333333
1824.0,2900.0,2219.6666666666665,6659.0,5475.0,6600.0,6016.666666666667,18050.0,5475.0,6600.0,6016.666666666667,18050.0,1619036073324.0,1619036073324.0,1619036073324.0,4857108219972.0,1619036073324.0,1619036073324.0,1619036073324.0,4857108219972.0,16.466666666666665,21.433333333333334,19.51111111111111,58.53333333333333,16.466666666666665,21.433333333333334,19.51111111111111,58.53333333333333
1824.0,2900.0,2219.6666666666665,6659.0,5475.0,6600.0,6016.666666666667,18050.0,5475.0,6600.0,6016.666666666667,18050.0,1619036073324.0,1619036073324.0,1619036073324.0,4857108219972.0,1619036073324.0,1619036073324.0,1619036073324.0,4857108219972.0,16.466666666666665,21.433333333333334,19.51111111111111,58.53333333333333,16.466666666666665,21.433333333333334,19.51111111111111,58.53333333333333
1824.0,2900.0,2219.6666666666665,6659.0,5475.0,6600.0,6016.666666666667,18050.0,5475.0,6600.0,6016.666666666667,18050.0,1619036073324.0,1619036073324.0,1619036073324.0,4857108219972.0,1619036073324.0,1619036073324.0,1619036073324.0,4857108219972.0,16.466666666666665,21.433333333333334,19.51111111111111,58.53333333333333,16.466666666666665,21.433333333333334,19.51111111111111,58.53333333333333
1824.0,2900.0,2219.6666666666665,6659.0,5475.0,6600.0,6016.666666666667,18050.0,5475.0,6600.0,6016.666666666667,18050.0,1619036073324.0,1619036073324.0,1619036073324.0,4857108219972.0,1619036073324.0,1619036073324.0,1619036073324.0,4857108219972.0,16.466666666666665,21.433333333333334,19.51111111111111,58.53333333333333,16.466666666666665,21.433333333333334,19.51111111111111,58.53333333333333
1813.0,3652.0,2906.3333333333335,8719.0,63076.0,64538.0,63729.0,191187.0,63075.0,64539.0,63729.0,191187.0,1619036081969.0,1619036081989.0,1619036081982.3333,4857108245947.0,1619036081969.0,1619036081989.0,1619036081982.3333,4857108245947.0,896.0666666666667,933.0666666666667,912.0388888888889,2736.116666666667,896.0833333333334,933.0666666666667,912.0388888888889,2736.116666666667
1813.0,3652.0,2906.3333333333335,8719.0,63076.0,64538.0,63729.0,191187.0,63075.0,64539.0,63729.0,191187.0,1619036081969.0,1619036081989.0,1619036081982.3333,4857108245947.0,1619036081969.0,1619036081989.0,1619036081982.3333,4857108245947.0,896.0666666666667,933.0666666666667,912.0388888888889,2736.116666666667,896.0833333333334,933.0666666666667,912.0388888888889,2736.116666666667
1813.0,3652.0,2906.3333333333335,8719.0,63076.0,64538.0,63729.0,191187.0,63075.0,64539.0,63729.0,191187.0,1619036081969.0,1619036081989.0,1619036081982.3333,4857108245947.0,1619036081969.0,1619036081989.0,1619036081982.3333,4857108245947.0,896.0666666666667,933.0666666666667,912.0388888888889,2736.116666666667,896.0833333333334,933.0666666666667,912.0388888888889,2736.116666666667
