TumblingWindow_Join.numRecordsInPerSecond_min,TumblingWindow_Join.numRecordsInPerSecond_max,TumblingWindow_Join.numRecordsInPerSecond_avg,TumblingWindow_Join.numRecordsInPerSecond_sum,TumblingWindow_Join.currentOutputWatermark_min,TumblingWindow_Join.currentOutputWatermark_max,TumblingWindow_Join.currentOutputWatermark_avg,TumblingWindow_Join.currentOutputWatermark_sum,TumblingWindow_Join.numRecordsOut_min,TumblingWindow_Join.numRecordsOut_max,TumblingWindow_Join.numRecordsOut_avg,TumblingWindow_Join.numRecordsOut_sum,TumblingWindow_Join.numRecordsOutPerSecond_min,TumblingWindow_Join.numRecordsOutPerSecond_max,TumblingWindow_Join.numRecordsOutPerSecond_avg,TumblingWindow_Join.numRecordsOutPerSecond_sum,TumblingWindow_Join.numRecordsIn_min,TumblingWindow_Join.numRecordsIn_max,TumblingWindow_Join.numRecordsIn_avg,TumblingWindow_Join.numRecordsIn_sum,TumblingWindow_Join.currentInputWatermark_min,TumblingWindow_Join.currentInputWatermark_max,TumblingWindow_Join.currentInputWatermark_avg,TumblingWindow_Join.currentInputWatermark_sum,TumblingWindow_Join.numLateRecordsDropped_min,TumblingWindow_Join.numLateRecordsDropped_max,TumblingWindow_Join.numLateRecordsDropped_avg,TumblingWindow_Join.numLateRecordsDropped_sum
0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-2.7670116110564327e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-2.7670116110564327e+19,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-2.7670116110564327e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-2.7670116110564327e+19,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-2.7670116110564327e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-2.7670116110564327e+19,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-2.7670116110564327e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-2.7670116110564327e+19,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-2.7670116110564327e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-2.7670116110564327e+19,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-2.7670116110564327e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-2.7670116110564327e+19,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-2.7670116110564327e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-2.7670116110564327e+19,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-2.7670116110564327e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-2.7670116110564327e+19,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-2.7670116110564327e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-2.7670116110564327e+19,0.0,0.0,0.0,0.0
15.3,25.466666666666665,19.7,59.099999999999994,1618577737969.0,1618577737989.0,1618577737982.3333,4855733213947.0,21918.0,30412.0,24954.0,74862.0,75.83333333333333,142.5,100.27777777777777,300.8333333333333,2645.0,3347.0,2968.0,8904.0,1618577738034.0,1618577738034.0,1618577738034.0,4855733214102.0,0.0,0.0,0.0,0.0
15.3,25.466666666666665,19.7,59.099999999999994,1618577737969.0,1618577737989.0,1618577737982.3333,4855733213947.0,21918.0,30412.0,24954.0,74862.0,75.83333333333333,142.5,100.27777777777777,300.8333333333333,2645.0,3347.0,2968.0,8904.0,1618577738034.0,1618577738034.0,1618577738034.0,4855733214102.0,0.0,0.0,0.0,0.0
15.3,25.466666666666665,19.7,59.099999999999994,1618577737969.0,1618577737989.0,1618577737982.3333,4855733213947.0,21918.0,30412.0,24954.0,74862.0,75.83333333333333,142.5,100.27777777777777,300.8333333333333,2645.0,3347.0,2968.0,8904.0,1618577738034.0,1618577738034.0,1618577738034.0,4855733214102.0,0.0,0.0,0.0,0.0
15.3,25.466666666666665,19.7,59.099999999999994,1618577737969.0,1618577737989.0,1618577737982.3333,4855733213947.0,21918.0,30412.0,24954.0,74862.0,75.83333333333333,142.5,100.27777777777777,300.8333333333333,2645.0,3347.0,2968.0,8904.0,1618577738034.0,1618577738034.0,1618577738034.0,4855733214102.0,0.0,0.0,0.0,0.0
15.3,25.466666666666665,19.7,59.099999999999994,1618577737969.0,1618577737989.0,1618577737982.3333,4855733213947.0,21918.0,30412.0,24954.0,74862.0,75.83333333333333,142.5,100.27777777777777,300.8333333333333,2645.0,3347.0,2968.0,8904.0,1618577738034.0,1618577738034.0,1618577738034.0,4855733214102.0,0.0,0.0,0.0,0.0
15.3,25.466666666666665,19.7,59.099999999999994,1618577737969.0,1618577737989.0,1618577737982.3333,4855733213947.0,21918.0,30412.0,24954.0,74862.0,75.83333333333333,142.5,100.27777777777777,300.8333333333333,2645.0,3347.0,2968.0,8904.0,1618577738034.0,1618577738034.0,1618577738034.0,4855733214102.0,0.0,0.0,0.0,0.0
15.3,25.466666666666665,19.7,59.099999999999994,1618577737969.0,1618577737989.0,1618577737982.3333,4855733213947.0,21918.0,30412.0,24954.0,74862.0,75.83333333333333,142.5,100.27777777777777,300.8333333333333,2645.0,3347.0,2968.0,8904.0,1618577738034.0,1618577738034.0,1618577738034.0,4855733214102.0,0.0,0.0,0.0,0.0
15.3,25.466666666666665,19.7,59.099999999999994,1618577737969.0,1618577737989.0,1618577737982.3333,4855733213947.0,21918.0,30412.0,24954.0,74862.0,75.83333333333333,142.5,100.27777777777777,300.8333333333333,2645.0,3347.0,2968.0,8904.0,1618577738034.0,1618577738034.0,1618577738034.0,4855733214102.0,0.0,0.0,0.0,0.0
15.3,25.466666666666665,19.7,59.099999999999994,1618577737969.0,1618577737989.0,1618577737982.3333,4855733213947.0,21918.0,30412.0,24954.0,74862.0,75.83333333333333,142.5,100.27777777777777,300.8333333333333,2645.0,3347.0,2968.0,8904.0,1618577738034.0,1618577738034.0,1618577738034.0,4855733214102.0,0.0,0.0,0.0,0.0
15.3,25.466666666666665,19.7,59.099999999999994,1618577737969.0,1618577737989.0,1618577737982.3333,4855733213947.0,21918.0,30412.0,24954.0,74862.0,75.83333333333333,142.5,100.27777777777777,300.8333333333333,2645.0,3347.0,2968.0,8904.0,1618577738034.0,1618577738034.0,1618577738034.0,4855733214102.0,0.0,0.0,0.0,0.0
75.98333333333333,94.76666666666667,82.5,247.5,1618577747894.0,1618577747894.0,1618577747894.0,4855733243682.0,62744.0,83024.0,70895.0,212685.0,775.4166666666666,1009.5833333333334,855.0,2565.0,6026.0,7979.0,6774.0,20322.0,1618577748009.0,1618577748009.0,1618577748009.0,4855733244027.0,0.0,0.0,0.0,0.0
75.98333333333333,94.76666666666667,82.5,247.5,1618577747894.0,1618577747894.0,1618577747894.0,4855733243682.0,62744.0,83024.0,70895.0,212685.0,775.4166666666666,1009.5833333333334,855.0,2565.0,6026.0,7979.0,6774.0,20322.0,1618577748009.0,1618577748009.0,1618577748009.0,4855733244027.0,0.0,0.0,0.0,0.0
